"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2023 00:00 - 01.01.2023 00:15","43046","39096"
"01.01.2023 00:15 - 01.01.2023 00:30","42577","38771"
"01.01.2023 00:30 - 01.01.2023 00:45","41937","38640"
"01.01.2023 00:45 - 01.01.2023 01:00","41302","38457"
"01.01.2023 01:00 - 01.01.2023 01:15","40841","38119"
"01.01.2023 01:15 - 01.01.2023 01:30","40271","38014"
"01.01.2023 01:30 - 01.01.2023 01:45","39746","38419"
"01.01.2023 01:45 - 01.01.2023 02:00","39249","38072"
"01.01.2023 02:00 - 01.01.2023 02:15","39059","37649"
"01.01.2023 02:15 - 01.01.2023 02:30","38943","37435"
"01.01.2023 02:30 - 01.01.2023 02:45","38451","37212"
"01.01.2023 02:45 - 01.01.2023 03:00","38072","36932"
"01.01.2023 03:00 - 01.01.2023 03:15","37631","36732"
"01.01.2023 03:15 - 01.01.2023 03:30","37651","36219"
"01.01.2023 03:30 - 01.01.2023 03:45","37558","36092"
"01.01.2023 03:45 - 01.01.2023 04:00","37514","36120"
"01.01.2023 04:00 - 01.01.2023 04:15","37771","35979"
"01.01.2023 04:15 - 01.01.2023 04:30","37835","35774"
"01.01.2023 04:30 - 01.01.2023 04:45","37723","35753"
"01.01.2023 04:45 - 01.01.2023 05:00","37494","35854"
"01.01.2023 05:00 - 01.01.2023 05:15","37343","36010"
"01.01.2023 05:15 - 01.01.2023 05:30","36846","36007"
"01.01.2023 05:30 - 01.01.2023 05:45","36401","36079"
"01.01.2023 05:45 - 01.01.2023 06:00","35928","35911"
"01.01.2023 06:00 - 01.01.2023 06:15","35192","35549"
"01.01.2023 06:15 - 01.01.2023 06:30","35257","35745"
"01.01.2023 06:30 - 01.01.2023 06:45","34718","35505"
"01.01.2023 06:45 - 01.01.2023 07:00","34738","35542"
"01.01.2023 07:00 - 01.01.2023 07:15","35045","36193"
"01.01.2023 07:15 - 01.01.2023 07:30","35161","36419"
"01.01.2023 07:30 - 01.01.2023 07:45","35574","36638"
"01.01.2023 07:45 - 01.01.2023 08:00","35625","36880"
"01.01.2023 08:00 - 01.01.2023 08:15","36449","36612"
"01.01.2023 08:15 - 01.01.2023 08:30","36620","36898"
"01.01.2023 08:30 - 01.01.2023 08:45","37049","37417"
"01.01.2023 08:45 - 01.01.2023 09:00","37614","37846"
"01.01.2023 09:00 - 01.01.2023 09:15","38771","38450"
"01.01.2023 09:15 - 01.01.2023 09:30","39382","39355"
"01.01.2023 09:30 - 01.01.2023 09:45","39831","40030"
"01.01.2023 09:45 - 01.01.2023 10:00","40257","40560"
"01.01.2023 10:00 - 01.01.2023 10:15","41141","40290"
